RegId,RegionId,RegionName,RegionTypeId,RegionTypeName,DangerLevel,ValidFrom,ValidTo,NextWarningTime,PublishTime,DangerIncreaseTime,DangerDecreaseTime,MainText,LangKey
219556,3022,Trollheimen,10,A,1,2020-03-04T00:00:00,2020-03-04T23:59:59,2020-03-05T16:00:00,2020-03-03T15:44:30.44,,,Ver varsom i bratt terreng det det ligg fokksnøflak.,1
219752,3022,Trollheimen,10,A,1,2020-03-05T00:00:00,2020-03-05T23:59:59,2020-03-06T16:00:00,2020-03-04T15:36:37.247,,,Vær varsom i terreng som har samlet fokksnø. Skred er lettest å løse ut der fokksnølaget er tynt eller mykt.,1
219943,3022,Trollheimen,10,A,2,2020-03-06T00:00:00,2020-03-06T23:59:59,2020-03-07T16:00:00,2020-03-05T15:54:47.913,,,Vær varsom i terreng som har samlet fokksnø. Skred er lettest å løse ut der fokksnølaget er tynt eller mykt.,1
220139,3022,Trollheimen,10,A,2,2020-03-07T00:00:00,2020-03-07T23:59:59,2020-03-08T16:00:00,2020-03-06T15:43:46.953,,,Vær varsom i terreng som har samla fokksnø. Skred er lettest å løse ut der fokksnølag er tynne eller myke. Kantkornutvikling kan forverre stabiliteten. ,1
220440,3022,Trollheimen,10,A,2,2020-03-08T00:00:00,2020-03-08T23:59:59,2020-03-09T16:00:00,2020-03-07T15:53:59.54,,,Kraftig vindøkning og høyere temperaturer. Vær varsom i terreng som har samla fokksnø. Skred er lettest å løse ut der fokksnølag er tynne eller myke.,1
220560,3022,Trollheimen,10,A,2,2020-03-09T00:00:00,2020-03-09T23:59:59,2020-03-10T16:00:00,2020-03-08T15:48:48.917,,,Stort sett stabile forhold under 1000 moh. Vær forsiktig i lokale leområder med fersk fokksnø. Det kan finnes områder med vedvarende svake lag i fjellet. ,1
220752,3022,Trollheimen,10,A,1,2020-03-10T00:00:00,2020-03-10T23:59:59,2020-03-11T16:00:00,2020-03-09T15:53:19.28,,,Tilfrysing vil virke stabiliserende på snødekket og skredfaren er synkende. Vær varsom ved fersk fokksnø høyt til fjells. ,1
220927,3022,Trollheimen,10,A,1,2020-03-11T00:00:00,2020-03-11T23:59:59,2020-03-12T16:00:00,2020-03-10T15:29:58.377,,,"Generelt stabile forhold, men vær likevel forsiktig i bratt terreng der det finst myke fokksnøflak som kan være lette å påvirke.",1
221115,3022,Trollheimen,10,A,2,2020-03-12T00:00:00,2020-03-12T23:59:59,2020-03-13T16:00:00,2020-03-11T15:45:03.837,,,Nysnø og vind utover ettermiddagen gjør at det vil legge seg opp ferske nysnøflak i leområder. Skred er lettest å løse ut der flaket er tynt eller mykt.,1
221293,3022,Trollheimen,10,A,2,2020-03-13T00:00:00,2020-03-13T23:59:59,2020-03-14T16:00:00,2020-03-12T15:30:26.207,,,Vær forsiktig i områder hvor nysnøen har bundet seg i myke flak til nysnøen har stabilisert seg. Skred er lettest å løse ut der flaket er tynt eller mykt.,1
222527,3022,Trollheimen,10,A,2,2020-03-14T00:00:00,2020-03-14T23:59:59,2020-03-15T16:00:00,2020-03-13T15:30:35.943,,,"Kalde temperaturer gjør at ustabile nysnøflak vedvarer i enkelte leområder, spesielt i høyden, ellers stort sett stabile forhold. ",1
222677,3022,Trollheimen,10,A,2,2020-03-15T00:00:00,2020-03-15T23:59:59,2020-03-16T16:00:00,2020-03-14T15:44:40.69,,,"Nedbør og vind gir lokalt ustabile forhold. Unngå leområder hvor det samler seg mye snø. Små, naturlig utløste våte skred kan forekomme under mildværsgrensen.",1
222869,3022,Trollheimen,10,A,2,2020-03-16T00:00:00,2020-03-16T23:59:59,2020-03-17T16:00:00,2020-03-15T15:36:44.987,,,Vær varsom i leområder med ferske nysnøflak fra søndag og natt til mandag. Solinnstråling kan gi fare for små våte løssnøskred i nysnøen.,1
223040,3022,Trollheimen,10,A,2,2020-03-17T00:00:00,2020-03-17T23:59:59,2020-03-18T16:00:00,2020-03-16T15:43:21.283,,,"Snø i høyden og mye vind øker skredfaren, dette gir lokalt ustabile forhold i deler av regionen. Vær derfor forsiktig i leområder med nylig innblåst snø. ",1
224187,3022,Trollheimen,10,A,2,2020-03-18T00:00:00,2020-03-18T23:59:59,2020-03-19T16:00:00,2020-03-17T15:46:50.1,,,Fortsatt snøvær i høyden gir ustabile forhold der det snør og blåser. Vær forsiktig i leområder.,1
224329,3022,Trollheimen,10,A,2,2020-03-19T00:00:00,2020-03-19T23:59:59,2020-03-20T16:00:00,2020-03-18T15:50:31.537,,,"Fortsatt snøvær i høyden gir lokalt ustabile forhold, vær forsiktig i leområder. Vinden dreier ila dagen og kan gi ulike skredproblem i ulike himmelretninger.",1
224458,3022,Trollheimen,10,A,2,2020-03-20T00:00:00,2020-03-20T23:59:59,2020-03-21T16:00:00,2020-03-19T15:47:28.497,,,Vær varsom i områder med fersk vindtransportert snø. Solinnstråling mellom bygene gir fare for våte løssnøskred i nysnøen.,1
224638,3022,Trollheimen,10,A,2,2020-03-21T00:00:00,2020-03-21T23:59:59,2020-03-22T16:00:00,2020-03-20T15:51:24.827,,,Skredfaren varierer i løpet av døgnet. Vær varsom i leområder med myke flak. Solinnstråling gir fare for naturlig utløste løssnøskred i nysnøen.,1
224837,3022,Trollheimen,10,A,2,2020-03-22T00:00:00,2020-03-22T23:59:59,2020-03-23T16:00:00,2020-03-21T15:40:52.897,,,Vindøkning til kvelden gir fersk fokksnø i leformasjonar i høyfjellet. Skredfaren øker i solsidene utover dagen når nysnøen blir fuktig,1
224980,3022,Trollheimen,10,A,2,2020-03-23T00:00:00,2020-03-23T23:59:59,2020-03-24T16:00:00,2020-03-22T15:41:51.3,,,Kraftig vind gir fersk fokksnø i høyfjellet som kan være lett å påvirke. I lavlandet er våte skred problemet utover dagen når snøen blir fuktig.,1
225134,3022,Trollheimen,10,A,2,2020-03-24T00:00:00,2020-03-24T23:59:59,2020-03-25T16:00:00,2020-03-23T15:51:02.523,,,"Mildvær, regn og kraftig vind. Vær varsom i bratte heng med mjuk våt snø. Skred kan også løsne naturlig. Hold avstand til skavler som nå er store. ",1
225323,3022,Trollheimen,10,A,2,2020-03-25T00:00:00,2020-03-25T23:59:59,2020-03-26T16:00:00,2020-03-24T15:45:58.183,,,"Kraftig vind i fjellet. Mildvær opp til fjelltopphøye gir fare for våte skred først på dagen. Fokksnø er økende problem fra ettermiddagen, særlig lengst vest. ",1
225454,3022,Trollheimen,10,A,2,2020-03-26T00:00:00,2020-03-26T23:59:59,2020-03-27T16:00:00,2020-03-25T15:41:01.96,,,"Minkende vind og nedbør, samt tilfrysing over 800 moh virker stabiliserende. Ferske fokksnøflak kan påvirkes i fjellet. Vær obs på våte skred lenger nede. ",1
225623,3022,Trollheimen,10,A,2,2020-03-27T00:00:00,2020-03-27T23:59:59,2020-03-28T16:00:00,2020-03-26T15:45:36.773,,,Hold avstand til utløpssoner for våt snø som raser ut i varmen. Vær varsom i bratt terreng i høgfjellet der det ligger fokksnøflak. ,1
225804,3022,Trollheimen,10,A,2,2020-03-28T00:00:00,2020-03-28T23:59:59,2020-03-29T16:00:00,2020-03-27T15:49:01.167,,,"Vind og nysnø kan gi ustabile forhold i nokre bratte heng. Unngå leområde kor det samlar seg fersk fokksnø, typisk bak ryggar, i søkk og renneformasjonar.",1
225980,3022,Trollheimen,10,A,3,2020-03-29T00:00:00,2020-03-29T23:59:59,2020-03-30T16:00:00,2020-03-28T15:46:35.693,,,Faregraden vil øke mot faregrad 3-betydelig i takt med økende nedbør og vind. De områdene som får mest nedbør vil være mest utsatt. Unngå leområder.,1
226252,3022,Trollheimen,10,A,3,2020-03-30T00:00:00,2020-03-30T23:59:59,2020-03-31T16:00:00,2020-03-29T20:19:55.66,,,Vær forsiktig i terrengfeller og i bratte heng til nysnøen har stabilisert seg. ,1
226297,3022,Trollheimen,10,A,3,2020-03-31T00:00:00,2020-03-31T23:59:59,2020-04-01T16:00:00,2020-03-30T15:51:33.957,,,Vær forsiktig der det ligger fersk fokksnø i høyden. Stigende temperatur fører til midlertidig svekkelse av snødekket.,1
226502,3022,Trollheimen,10,A,3,2020-04-01T00:00:00,2020-04-01T23:59:59,2020-04-02T16:00:00,2020-03-31T15:41:16.19,,,Unngå leområder hvor det samler seg fersk fokksnø i høyfjellet. Våte skred kan forekomme under 1000 moh.,1
226627,3022,Trollheimen,10,A,3,2020-04-02T00:00:00,2020-04-02T23:59:59,2020-04-03T16:00:00,2020-04-01T13:36:55.543,,,Økende skredfare til kvelden med bygevær og kraftig vind vil føre til ustabile fokksnøflak i leområder. Turer i høyfjellet anbefales ikke.,1
226841,3022,Trollheimen,10,A,3,2020-04-03T00:00:00,2020-04-03T23:59:59,2020-04-04T16:00:00,2020-04-02T15:48:31.213,,,"Krevende forhold. Naturlig utløste skred i fjellet sannsynlig. Som skiløper, vær spesielt forsiktig rundt skoggrensen, samt i områder med myk fokksnø.",1
226998,3022,Trollheimen,10,A,3,2020-04-04T00:00:00,2020-04-04T23:59:59,2020-04-05T16:00:00,2020-04-03T15:49:01.017,,,"Krevende forhold. Som skiløper, vær spesielt forsiktig rundt skoggrensen, samt i områder med myk fokksnø. Naturlig utløse skred i fjellet fortsatt mulig.",1
227282,3022,Trollheimen,10,A,3,2020-04-05T00:00:00,2020-04-05T23:59:59,2020-04-06T16:00:00,2020-04-04T15:44:03.71,,,"Litt snøfall og deretter temperaturstigning. Vær oppmerksom på våte løssnøskred i lavlandet, fersk fokksnø i høyden og store ustabile skavler.  ",1
228411,3022,Trollheimen,10,A,3,2020-04-06T00:00:00,2020-04-06T23:59:59,2020-04-07T16:00:00,2020-04-05T15:30:00.827,,,Ytterligere temperaturstigning med plussgrader høyt til fjells om kvelden. Faren for våte skred flytter seg oppover i fjellet. Vær oppmerksom ved skavler!,1
228647,3022,Trollheimen,10,A,2,2020-04-07T00:00:00,2020-04-07T23:59:59,2020-04-08T16:00:00,2020-04-06T15:27:57.67,,,"Temperaturen synker igjen, mens vinden tar seg opp på ettermiddagen. Vær oppmerksom på naturlig utløste skred i våt snø, samt fokksnøflak høyt til fjells. ",1
228769,3022,Trollheimen,10,A,2,2020-04-08T00:00:00,2020-04-08T23:59:59,2020-04-09T16:00:00,2020-04-07T15:17:29.457,,,"Kraftig vind og bygevær vil gi snøfokk, særlig i høyereliggende fjell. Vær varsom ved ferdsel på fersk fokksnø og nær store skavler. I lavlandet er snøen våt. ",1
228944,3022,Trollheimen,10,A,2,2020-04-09T00:00:00,2020-04-09T23:59:59,2020-04-10T16:00:00,2020-04-08T15:44:44.31,,,Kraftig vind og bygevær vil gi snøfokk i fjellet. Vær varsom ved ferdsel på fersk fokksnø og nær store skavler.,1
229106,3022,Trollheimen,10,A,2,2020-04-10T00:00:00,2020-04-10T23:59:59,2020-04-11T16:00:00,2020-04-09T15:42:11.893,,,Vind og bygevær vil gi snøfokk i fjellet. Vær varsom ved ferdsel på fersk fokksnø og nær store skavler.,1
